registre;Nom;Fax;Tel;sigle;adresse;ville;jure;datecration;part;viller;region;adheree;chiffrea;cnss;ingenieur;technicien;cadre;email
22790;BOUSSOUKSSOU;0537 70 58 30;0537 70 58 30;;RUE AL KOUFA, N°7, RABAT;R1;PP;;;RABAT;1;R;;1553321;0;0;1;
41199;ELECTRICITE GENERALE;037 79 51 49;037 79 51 49;SARA;HAY EL MENZEH, N°853, RABAT;R1;SARL;20/07/1992;220000;RABAT;1;O;;2328666;1;0;2;
46071;query;037 72 97 73;037 72 78 40;;2, RUE GABES, APP6, HASSAN, RABAT;R1;SARL;;100000;RABAT;1;O;;2445634;0;0;1;august@menara.ma
40371;BITUMES ET APPLICATIONS;037 74 95 65;537749566;BITUMA;QUARTIER INDUSTRIEL ZONE VITA, N°10, CYM RT;R1;SA;23/12/1991;6500000;RABAT;1;O;;2140987;2;5;4;SPM@MENARA.MA
11111;LARAICHI ABDELHAQ;037 75 84 79;037 75 84 79;;;R1;SARL;;100000;RABAT;1;O;;;1;;;IRMAN_ CONSTRUCTION@HOTMAIL.COM
50075;SOGEA MAROC;037 70 34 69;037 70 07 12/14 15;SOGEA;165, AVENUE ALLAL BEN ABDELLAH, RABAT;R1;SARL;13/01/1999;25000000;RABAT;1;O;;6077384;8;30;33;SECRETARIAT@BITUMA.MA
53431;JET ALU MAROC;037 74 92 30;037 74 92 92/22/21;JET ALU;78, QUARTIER INDUSTRIEL, TAKADOUM, RABAT;R1;SARL;21/03/2001;4100000;RABAT;1;O;;2327064;4;2;2;
17845;SOCIETE NOUVELLE DES CONDUITES D EAU;037 77 66 74;037 77 67 14;SNCE;RESIDENCE KAYS, RABIA AL ADAOUIA, AGDAL, RABAT;R1;SA;01/01/1969;156800000;RABAT;1;O;;1444538;30;21;3;DELRHAZI@SMA.SOGEA.MA
27039;TRAVAUX D AMENAGEMENT ET DE CONSTRUCTION;037 77 67 83;037 77 6O 9O/037 77;TRAMCO;29, AVENUE AL ABTAL AGDAL RABAT;R1;SARL;09/10/1984;5500000;RABAT;1;O;;1136507;2;4;3;jetalu@jetalu.com
28575;SOCIETE DU GRAND MAGHREB;037 77 96 67;037 77 96 67;SOGRAMA;17 BIS AVENUE ALLAL BEN ABDELLAH, RABAT;R1;SARL;;1000000;RABAT;1;O;;1304386;1;1;2;snce@iam.net.ma
46065;GETHERM MAINTENANCE;037 60 36 42;037 60 36 41;;BOULEVARD MY ALI CHERIF IMM 20 APP 14 TEMARA;R3;SARL;07/02/1996;100000;RABAT;1;O;;295292;;2;1;TRAMCO@MENARA.MA
